metric,min,max,mean,p90
performance,87.0,90.0,88.2,89.6
lcp,1380.9120000000003,1772.6670000000001,1611.4178000000002,1753.4694
fcp,1052.6670000000001,1104.673,1079.4178000000002,1103.1686
tbt,20.0,83.0,50.399999999999956,80.2
cls,0.006722269336262536,0.04847013866335922,0.023421392756147123,0.048470090041451044
si,1899.0335960663006,2107.932091160377,2004.3829147526872,2081.420960500118
performance,54.0,87.0,76.4,86.6
lcp,1641.031,2559.7929999999997,1858.2354,2234.033
fcp,1121.031,2271.3579999999997,1385.9073999999998,1852.972
tbt,51.0,1900.205,426.428,1167.6970000000001
cls,0.006722269336262536,0.007053469888206377,0.006865579190684155,0.007053469888206377
si,2231.338929566004,3341.050989342412,2665.4319365558454,3250.387058809108
